STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
725090,14739, 19431121,   42.4,20,   35.3,20, 1020.2,20, 9999.9, 0,   4.5,20,   6.0,20,   9.9, 999.9,   48.4*,  36.3*, 0.00I,999.9, 000000,
725090,14739, 19431126,   54.5,11,   23.2,11, 1020.4,11, 9999.9, 0,   3.4,11,   5.5,11,   9.9, 999.9,   61.3*,  44.4*, 0.00I,999.9, 000000,
725090,14739, 19431127,   45.8, 9,   32.8, 9, 1017.2, 9, 9999.9, 0,   3.7, 9,   6.0, 9,  12.0, 999.9,   47.3*,  43.3*, 0.00I,999.9, 000000,
725090,14739, 19431202,   48.7, 5,   31.0, 5, 1014.5, 5, 9999.9, 0,   2.2, 5,   7.4, 5,   8.9, 999.9,   51.3*,  45.3*, 0.00I,999.9, 000000,
725090,14739, 19431203,   41.1,15,   30.5,15, 1020.3,15, 9999.9, 0,   3.8,15,   3.8,15,   9.9, 999.9,   45.3*,  39.4*, 0.00I,999.9, 000000,
725090,14739, 19431209,   46.7,20,   35.1,20, 1011.7,20, 9999.9, 0,   3.4,20,   9.0,20,  19.0, 999.9,   52.3*,  40.3*, 0.00I,999.9, 100000,
725090,14739, 19431215,   14.2,16,    2.2,16, 1027.8,16, 9999.9, 0,   5.2,16,   8.2,16,  11.1, 999.9,   18.3*,   9.3*, 0.00I,999.9, 000000,
725090,14739, 19431216,   11.1, 4,  -12.3, 4, 1029.6, 4, 9999.9, 0,   5.2, 4,   8.0, 4,  11.1, 999.9,   12.4*,  10.4*, 0.00I,999.9, 000000,
725090,14739, 19431221,   43.6,10,   16.8,10, 1003.1,10, 9999.9, 0,  62.4,10,  20.7,10,  29.9, 999.9,   47.3*,  35.4*, 0.00I,999.9, 000000,
725090,14739, 19431222,   38.1,10,   18.6,10, 1003.5,10, 9999.9, 0,  25.0,10,  10.5,10,  19.0, 999.9,   44.4*,  28.4*, 0.00I,999.9, 000000,
725090,14739, 19431227,   43.4, 4,   37.6, 4, 1010.8, 4, 9999.9, 0,   5.2, 4,   6.5, 4,   8.9, 999.9,   44.4*,  42.4*, 0.00I,999.9, 000000,
725090,14739, 19431228,   39.3,16,   28.0,16, 1009.4,16, 9999.9, 0,  18.3,16,  11.4,16,  16.9, 999.9,   43.3*,  33.4*, 0.00I,999.9, 000000,
725090,14739, 19440103,   31.6,20,   22.8,20, 1026.6,20, 9999.9, 0,   2.6,20,   4.1,20,  14.0, 999.9,   38.3*,  26.4*, 0.00I,999.9, 000000,
725090,14739, 19440109,   11.7,16,   -2.0,16, 1014.4,16, 9999.9, 0,  70.7,16,   9.6,16,  15.0, 999.9,   17.4*,   5.4*, 0.00I,999.9, 000000,
725090,14739, 19440110,   15.4, 4,    5.7, 4, 1013.2, 4, 9999.9, 0,  99.4, 4,   8.2, 4,   8.9, 999.9,   16.3*,  14.4*, 0.00I,999.9, 000000,
725090,14739, 19440115,   36.1,10,   19.0,10, 1013.5,10, 9999.9, 0,  13.1,10,   5.6,10,   8.0, 999.9,   38.3*,  30.4*, 0.00I,999.9, 000000,
725090,14739, 19440116,   32.6,10,   20.5,10, 1011.0,10, 9999.9, 0,  16.1,10,  13.1,10,  22.0, 999.9,   36.3*,  27.3*,99.99 ,999.9, 001000,
725090,14739, 19440121,   40.6, 4,   33.3, 4, 1012.5, 4, 9999.9, 0,   2.5, 4,  14.7, 4,  21.0, 999.9,   42.4*,  39.4*, 0.00I,999.9, 000000,
