STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
999999,21514, 20050927,   46.3,20, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   59.0 ,  39.2 , 0.00I,999.9, 000000,
999999,21514, 20050928,   48.0,23, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   58.5 ,  41.2 , 0.00I,999.9, 000000,
999999,21514, 20050929,   47.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   57.2 ,  40.5 , 0.00I,999.9, 000000,
999999,21514, 20050930,   45.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   55.4 ,  39.2 , 0.00G,999.9, 000000,
999999,21514, 20051001,   43.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   51.1 ,  37.4 , 0.09G,999.9, 000000,
999999,21514, 20051002,   43.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   52.5 ,  37.6 , 0.00G,999.9, 000000,
999999,21514, 20051003,   46.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   57.2 ,  40.6 , 0.00G,999.9, 000000,
999999,21514, 20051004,   50.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   63.0 ,  43.3 , 0.00G,999.9, 000000,
999999,21514, 20051005,   50.2,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   62.1 ,  40.8 , 0.00G,999.9, 000000,
999999,21514, 20051006,   48.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   61.7 ,  42.1 , 0.00G,999.9, 000000,
999999,21514, 20051007,   49.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   61.3 ,  41.7 , 0.00G,999.9, 000000,
999999,21514, 20051008,   48.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   59.7*,  43.0 , 0.00G,999.9, 000000,
999999,21514, 20051009,   48.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   59.7 ,  37.8 , 0.00G,999.9, 000000,
999999,21514, 20051010,   49.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   62.4*,  41.7 , 0.00G,999.9, 000000,
999999,21514, 20051011,   49.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   62.6 ,  39.4 , 0.00G,999.9, 000000,
999999,21514, 20051012,   45.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   57.4 ,  36.3 , 0.00G,999.9, 000000,
999999,21514, 20051013,   46.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   57.9 ,  39.4 , 0.00G,999.9, 000000,
999999,21514, 20051014,   47.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   57.0 ,  40.5 , 0.00G,999.9, 000000,
999999,21514, 20051015,   46.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   56.7 ,  38.8 , 0.00G,999.9, 000000,
999999,21514, 20051016,   46.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   58.3 ,  41.4 , 0.00G,999.9, 000000,
999999,21514, 20051017,   49.3,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   58.8 ,  41.9 , 0.03G,999.9, 000000,
999999,21514, 20051018,   50.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   59.4 ,  44.2 , 0.00G,999.9, 000000,
999999,21514, 20051019,   47.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   56.7 ,  40.5 , 0.00G,999.9, 000000,
999999,21514, 20051020,   48.5,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   57.9 ,  41.7 , 0.00G,999.9, 000000,
999999,21514, 20051021,   50.0,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   60.3 ,  42.1 , 0.00G,999.9, 000000,
999999,21514, 20051022,   49.4,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   59.9 ,  42.8 , 0.00G,999.9, 000000,
999999,21514, 20051023,   44.2,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   53.6 ,  37.4 , 0.00G,999.9, 000000,
999999,21514, 20051024,   40.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   48.6 ,  34.2 , 0.02G,999.9, 000000,
999999,21514, 20051025,   42.2,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   54.1 ,  37.4 , 0.06G,999.9, 000000,
999999,21514, 20051026,   46.1,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   53.8 ,  40.1 , 0.00G,999.9, 000000,
999999,21514, 20051027,   44.6,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   53.8 ,  38.1 , 0.00G,999.9, 000000,
999999,21514, 20051028,   44.9,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   52.3 ,  37.0 , 0.00G,999.9, 000000,
999999,21514, 20051029,   44.7,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   52.2 ,  39.6 , 0.07G,999.9, 000000,
999999,21514, 20051030,   44.8,24, 9999.9, 0, 9999.9, 0, 9999.9, 0, 999.9, 0, 999.9, 0, 999.9, 999.9,   50.7 ,  36.3 , 0.00G,999.9, 000000,
