STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
170300,99999, 19510508,   60.5, 5,   53.1, 5, 1013.3, 5, 9999.9, 0,  10.7, 4,   1.0, 5,   2.9, 999.9,   67.3*,  55.4*, 0.00I,999.9, 000000,
170300,99999, 19510509,   65.1, 5,   49.5, 5, 1016.5, 5, 9999.9, 0,  14.5, 5,   4.6, 5,   7.0, 999.9,   70.3*,  60.3*, 0.00I,999.9, 000000,
170300,99999, 19510510,   65.6, 5,   49.4, 5, 1012.1, 5, 9999.9, 0,  14.1, 5,   2.6, 5,   5.1, 999.9,   76.3*,  59.4*, 0.00I,999.9, 000000,
170300,99999, 19510511,   78.1, 5,   48.1, 5, 1007.4, 5, 9999.9, 0,  10.5, 5,   7.4, 5,  14.0, 999.9,   87.3*,  71.2*, 0.00I,999.9, 000000,
170300,99999, 19510512,   67.1, 5,   50.5, 5, 1009.2, 5, 9999.9, 0,  12.7, 4,   2.4, 5,   6.0, 999.9,   69.3*,  63.3*, 0.00I,999.9, 000000,
170300,99999, 19510513,   61.9, 5,   51.1, 5, 1011.1, 5, 9999.9, 0,  12.9, 5,   3.2, 5,   6.0, 999.9,   68.4*,  58.3*, 0.00I,999.9, 000000,
170300,99999, 19510514,   59.5, 5,   53.5, 5, 1006.8, 5, 9999.9, 0,  10.1, 5,   4.6, 5,   6.0, 999.9,   63.3*,  55.4*,99.99 ,999.9, 010000,
170300,99999, 19510515,   59.9, 5,   51.2, 5, 1010.5, 5, 9999.9, 0,  11.9, 5,   5.6, 5,  12.0, 999.9,   63.3*,  56.3*, 0.00I,999.9, 000000,
170300,99999, 19510516,   60.7, 5,   52.9, 5, 1015.0, 5, 9999.9, 0,  14.1, 5,   3.8, 5,   9.9, 999.9,   65.3*,  56.3*, 0.00I,999.9, 000000,
170300,99999, 19510518,   65.9, 5,   52.5, 5, 1003.8, 5, 9999.9, 0,  10.7, 5,   5.2, 5,   8.9, 999.9,   71.2*,  60.3*,99.99 ,999.9, 010010,
170300,99999, 19510519,   62.7, 5,   54.5, 5, 1009.3, 5, 9999.9, 0,   9.0, 5,   4.8, 5,   6.0, 999.9,   66.4*,  60.3*,99.99 ,999.9, 010000,
170300,99999, 19510520,   61.5, 5,   53.3, 5, 1014.7, 5, 9999.9, 0,  11.9, 5,   3.5, 5,   5.1, 999.9,   65.3*,  58.3*, 0.00I,999.9, 000000,
170300,99999, 19510521,   59.3, 5,   54.8, 5, 1010.0, 5, 9999.9, 0,  10.4, 5,   4.2, 5,   7.0, 999.9,   66.4*,  54.3*, 0.00I,999.9, 100000,
170300,99999, 19510523,   61.1, 5,   52.3, 4, 1010.5, 5, 9999.9, 0,   8.9, 5,   2.4, 5,   8.0, 999.9,   65.3*,  59.4*,99.99 ,999.9, 010000,
170300,99999, 19510524,   62.9, 5,   55.8, 5, 1016.5, 5, 9999.9, 0,  11.3, 5,   2.8, 5,   8.0, 999.9,   67.3*,  58.3*, 0.00I,999.9, 000000,
170300,99999, 19510525,   60.4, 5,   51.3, 5, 1014.0, 5, 9999.9, 0,  10.1, 5,   2.4, 5,  12.0, 999.9,   64.4*,  59.4*,99.99 ,999.9, 010000,
170300,99999, 19510526,   60.4, 5,   52.9, 5, 1017.2, 5, 9999.9, 0,  13.5, 5,   2.4, 5,   6.0, 999.9,   64.4*,  55.4*, 0.00I,999.9, 000000,
170300,99999, 19510527,   60.3, 5,   54.3, 4, 1013.8, 5, 9999.9, 0,  12.5, 5,   3.2, 5,   6.0, 999.9,   64.4*,  56.3*, 0.00I,999.9, 000000,
170300,99999, 19510528,   62.9, 4,   57.3, 4, 1019.5, 4, 9999.9, 0,  12.7, 4,   2.5, 4,   5.1, 999.9,   66.4*,  58.3*, 0.00I,999.9, 000000,
170300,99999, 19510529,   62.0, 5,   56.6, 5, 9999.9, 0, 9999.9, 0,  12.5, 5,   2.2, 5,   6.0, 999.9,   65.3*,  57.4*, 0.00I,999.9, 000000,
170300,99999, 19510531,   66.7, 5,   56.7, 5, 1010.4, 5, 9999.9, 0,  13.1, 5,   1.6, 5,   4.1, 999.9,   70.3*,  63.3*, 0.00I,999.9, 000000,
170300,99999, 19510601,   64.8, 5,   56.8, 5, 1008.2, 5, 9999.9, 0,   8.7, 5,   8.4, 5,  11.1, 999.9,   68.4*,  62.4*,99.99 ,999.9, 010000,
170300,99999, 19510602,   63.0, 5,   52.4, 5, 1011.1, 5, 9999.9, 0,  10.7, 5,  11.0, 5,  15.9, 999.9,   68.4*,  58.3*, 0.00I,999.9, 000000,
170300,99999, 19510603,   60.5, 5,   49.3, 5, 1015.0, 5, 9999.9, 0,  12.5, 5,   3.0, 5,   7.0, 999.9,   66.4*,  55.4*, 0.00I,999.9, 000000,
170300,99999, 19510604,   60.8, 5,   51.2, 5, 1015.3, 5, 9999.9, 0,  13.1, 5,   3.2, 5,   7.0, 999.9,   66.4*,  53.4*, 0.00I,999.9, 000000,
170300,99999, 19510605,   60.9, 5,   52.4, 5, 1012.9, 5, 9999.9, 0,  13.1, 5,   1.6, 5,   4.1, 999.9,   66.4*,  56.3*, 0.00I,999.9, 000000,
170300,99999, 19510606,   63.7, 5,   52.7, 5, 1010.3, 5, 9999.9, 0,  13.1, 5,   2.2, 5,   6.0, 999.9,   69.3*,  57.4*, 0.00I,999.9, 000000,
170300,99999, 19510607,   68.5, 5,   58.4, 5, 1010.2, 5, 9999.9, 0,  13.1, 5,   3.0, 5,   8.0, 999.9,   82.4*,  61.3*, 0.00I,999.9, 000000,
